id_cliente,total_comprado,nombre_completo,email,id_localidad
13,857.37,Colleen Henderson,grahamjohn@example.com,1
53,856.49,Stephen Grant,harrisjacob@example.com,5
134,847.23,Shelly Dunn,ataylor@example.org,4
63,834.63,Deborah Garcia,thomaswendy@example.org,1
161,817.82,Michael Shepherd,kaylagibson@example.net,5
5,786.75,Olivia Anderson,brianclark@example.net,4
153,783.25,Cory Wilson,hannahhicks@example.com,5
182,769.44,Jeremy Adams,mramos@example.org,1
45,766.26,Kimberly Fitzgerald,jacob07@example.com,3
168,759.56,Leslie Fisher,andersonamanda@example.net,4
88,740.98,Erin Ramos,jerry17@example.net,2
103,734.52,Sophia Donovan,dickersonkelly@example.net,4
58,733.05,Kevin Hernandez,colleensolomon@example.com,3
104,730.97,Candice Boyd,vsantos@example.net,5
79,728.19,Heather Rowland,brandon00@example.net,2
188,723.84,Brooke Smith,phillip44@example.org,1
48,720.7,William Richardson,steven19@example.com,5
173,707.02,Javier Moore,danielle60@example.com,5
124,684.47,Jasmine Wilkins,mitchellperry@example.com,5
105,658.14,Carrie Myers,uhutchinson@example.org,3
77,656.96,Jerry Dominguez,goodmanstephen@example.org,4
43,656.85,Sally Johnson,hmartinez@example.net,2
65,655.4000000000001,John Townsend,ngraham@example.org,5
132,642.99,John Bailey,uhutchinson@example.net,5
138,642.05,Raymond Mendez,erinpowell@example.com,1
143,621.2,John Wright,leah05@example.net,3
149,620.4,Cameron Pruitt,yrodriguez@example.net,2
139,616.05,Joshua Martin,wcarney@example.com,3
31,609.12,Larry Collins,ryanamber@example.com,1
11,595.0600000000001,Brady Chandler,ehansen@example.com,5
106,593.48,Debra Joseph,atkinsonalicia@example.net,3
91,584.03,Valerie Mora,anita08@example.net,4
96,577.2,Elizabeth Dennis,rrocha@example.net,2
99,567.9,Mark Romero,landrykatherine@example.net,5
71,555.16,Elizabeth Wilcox,soniabruce@example.com,1
166,541.89,Reginald Robertson,christopher09@example.net,1
189,536.16,Thomas Flores,kimberlyguerra@example.net,4
183,535.44,Christopher Wheeler,jessica46@example.net,2
130,534.38,Denise Mueller,callen@example.org,3
194,525.31,Pedro Lee,justingarrison@example.com,5
15,504.19,Jeff Miller,achapman@example.com,5
155,492.23,Patrick Clements,sanchezsandra@example.org,2
7,452.98,Leslie Lee,dawsonray@example.net,4
42,452.59,Ryan Martin,angelasimpson@example.com,3
46,444.7,Andrew Reed,sarahyoung@example.com,3
150,441.73,Richard Collins,trujillojennifer@example.com,3
179,440.66,Christopher Scott,gary30@example.org,5
131,440.05,Annette Perez,vasquezbeth@example.org,2
68,426.3,Justin Castro,karlrodriguez@example.net,3
140,416.26,Valerie Murray,ariel84@example.net,3
35,405.57,Danielle Wells,austin08@example.net,4
112,403.33,Anthony Reynolds,valentinelisa@example.org,3
47,388.18,Samuel Kim,christian74@example.com,2
147,363.14,Jacqueline Frost,james62@example.com,5
137,341.69,Corey Henry,umason@example.com,4
113,333.37,William Thomas,gomezlisa@example.net,5
175,322.56,Charles Davis,andersonaaron@example.net,5
37,288.95,Andrew Holland,richardphillips@example.org,2
120,265.9,Angie Gutierrez,bretthoffman@example.net,2
116,263.34,Omar Nicholson,hrasmussen@example.com,3
9,247.42,Diane Steele,qwalter@example.com,5
111,235.72,Christopher Guerra,swoods@example.net,5
92,222.23,Jenna Key,ahernandez@example.net,5
135,219.25,Michael Todd,debbie18@example.net,2
176,215.92,Linda Smith,deanna81@example.net,3
60,212.44,Carrie West,xweaver@example.org,2
72,206.62,Shelby White,julia76@example.org,3
84,195.47,Kimberly Roach,susan81@example.com,5
21,192.09,Eric Strong,frobinson@example.org,5
14,177.1,Sydney Sherman,ftucker@example.org,3
163,164.6,Theresa Hampton,richard69@example.net,2
193,147.08,Toni Andrade,anthonywatts@example.com,3
1,138.37,Joseph Glass,riverakayla@example.net,4
40,123.05,Andrea Wilson,tsosa@example.com,1
156,104.82,Brianna Mueller,chenlacey@example.com,2
34,97.54,Michael Lewis,gsmith@example.com,1
61,95.94,Sarah Travis,clementsdavid@example.net,2
148,76.19,Annette Hill,kjohnson@example.org,2
109,69.64,James Roberts,richardware@example.net,5
125,63.36,Lisa Brooks,yhansen@example.org,2
152,62.04,William Black,jvasquez@example.net,5
