id_cliente,total_comprado,nombre_completo,email,id_localidad
166,541.89,Reginald Robertson,christopher09@example.net,1.0
189,536.16,Thomas Flores,kimberlyguerra@example.net,4.0
183,535.44,Christopher Wheeler,jessica46@example.net,2.0
130,534.38,Denise Mueller,callen@example.org,3.0
194,525.31,Pedro Lee,justingarrison@example.com,5.0
15,504.19,Jeff Miller,achapman@example.com,5.0
155,492.23,Patrick Clements,sanchezsandra@example.org,2.0
7,452.98,Leslie Lee,dawsonray@example.net,4.0
42,452.59,Ryan Martin,angelasimpson@example.com,3.0
46,444.7,Andrew Reed,sarahyoung@example.com,3.0
150,441.73,Richard Collins,trujillojennifer@example.com,3.0
179,440.66,Christopher Scott,gary30@example.org,5.0
131,440.05,Annette Perez,vasquezbeth@example.org,2.0
68,426.3,Justin Castro,karlrodriguez@example.net,3.0
140,416.26,Valerie Murray,ariel84@example.net,3.0
35,405.57,Danielle Wells,austin08@example.net,4.0
112,403.33,Anthony Reynolds,valentinelisa@example.org,3.0
47,388.18,Samuel Kim,christian74@example.com,2.0
147,363.14,Jacqueline Frost,james62@example.com,5.0
137,341.69,Corey Henry,umason@example.com,4.0
113,333.37,William Thomas,gomezlisa@example.net,5.0
175,322.56,Charles Davis,andersonaaron@example.net,5.0
37,288.95,Andrew Holland,richardphillips@example.org,2.0
120,265.9,Angie Gutierrez,bretthoffman@example.net,2.0
116,263.34,Omar Nicholson,hrasmussen@example.com,3.0
9,247.42,Diane Steele,qwalter@example.com,5.0
111,235.72,Christopher Guerra,swoods@example.net,5.0
92,222.23,Jenna Key,ahernandez@example.net,5.0
135,219.25,Michael Todd,debbie18@example.net,2.0
176,215.92,Linda Smith,deanna81@example.net,3.0
60,212.44,Carrie West,xweaver@example.org,2.0
72,206.62,Shelby White,julia76@example.org,3.0
84,195.47,Kimberly Roach,susan81@example.com,5.0
21,192.09,Eric Strong,frobinson@example.org,5.0
14,177.1,Sydney Sherman,ftucker@example.org,3.0
163,164.6,Theresa Hampton,richard69@example.net,2.0
193,147.08,Toni Andrade,anthonywatts@example.com,3.0
1,138.37,Joseph Glass,riverakayla@example.net,4.0
40,123.05,Andrea Wilson,tsosa@example.com,1.0
156,104.82,Brianna Mueller,chenlacey@example.com,2.0
34,97.54,Michael Lewis,gsmith@example.com,1.0
61,95.94,Sarah Travis,clementsdavid@example.net,2.0
148,76.19,Annette Hill,kjohnson@example.org,2.0
109,69.64,James Roberts,richardware@example.net,5.0
125,63.36,Lisa Brooks,yhansen@example.org,2.0
152,62.04,William Black,jvasquez@example.net,5.0
