id_cliente,nombre,apellido,email,telefono,direccion,id_localidad,nombre_completo
31,Cliente_31,Apellido_31,cliente31@email.com,123-456-0031,Calle 31 # 310,2,Cliente_31 Apellido_31
32,Cliente_32,Apellido_32,cliente32@email.com,123-456-0032,Calle 32 # 320,3,Cliente_32 Apellido_32
33,Cliente_33,Apellido_33,cliente33@email.com,123-456-0033,Calle 33 # 330,1,Cliente_33 Apellido_33
34,Cliente_34,Apellido_34,cliente34@email.com,123-456-0034,Calle 34 # 340,1,Cliente_34 Apellido_34
35,Cliente_35,Apellido_35,cliente35@email.com,123-456-0035,Calle 35 # 350,3,Cliente_35 Apellido_35
36,Cliente_36,Apellido_36,cliente36@email.com,123-456-0036,Calle 36 # 360,1,Cliente_36 Apellido_36
37,Cliente_37,Apellido_37,cliente37@email.com,123-456-0037,Calle 37 # 370,5,Cliente_37 Apellido_37
38,Cliente_38,Apellido_38,cliente38@email.com,123-456-0038,Calle 38 # 380,8,Cliente_38 Apellido_38
39,Cliente_39,Apellido_39,cliente39@email.com,123-456-0039,Calle 39 # 390,9,Cliente_39 Apellido_39
40,Cliente_40,Apellido_40,cliente40@email.com,123-456-0040,Calle 40 # 400,5,Cliente_40 Apellido_40
41,Cliente_41,Apellido_41,cliente41@email.com,123-456-0041,Calle 41 # 410,3,Cliente_41 Apellido_41
42,Cliente_42,Apellido_42,cliente42@email.com,123-456-0042,Calle 42 # 420,5,Cliente_42 Apellido_42
43,Cliente_43,Apellido_43,cliente43@email.com,123-456-0043,Calle 43 # 430,1,Cliente_43 Apellido_43
44,Cliente_44,Apellido_44,cliente44@email.com,123-456-0044,Calle 44 # 440,3,Cliente_44 Apellido_44
45,Cliente_45,Apellido_45,cliente45@email.com,123-456-0045,Calle 45 # 450,1,Cliente_45 Apellido_45
46,Cliente_46,Apellido_46,cliente46@email.com,123-456-0046,Calle 46 # 460,9,Cliente_46 Apellido_46
47,Cliente_47,Apellido_47,cliente47@email.com,123-456-0047,Calle 47 # 470,10,Cliente_47 Apellido_47
48,Cliente_48,Apellido_48,cliente48@email.com,123-456-0048,Calle 48 # 480,8,Cliente_48 Apellido_48
49,Cliente_49,Apellido_49,cliente49@email.com,123-456-0049,Calle 49 # 490,6,Cliente_49 Apellido_49
50,Cliente_50,Apellido_50,cliente50@email.com,123-456-0050,Calle 50 # 500,6,Cliente_50 Apellido_50
51,Cliente_51,Apellido_51,cliente51@email.com,123-456-0051,Calle 51 # 510,2,Cliente_51 Apellido_51
52,Cliente_52,Apellido_52,cliente52@email.com,123-456-0052,Calle 52 # 520,10,Cliente_52 Apellido_52
53,Cliente_53,Apellido_53,cliente53@email.com,123-456-0053,Calle 53 # 530,7,Cliente_53 Apellido_53
54,Cliente_54,Apellido_54,cliente54@email.com,123-456-0054,Calle 54 # 540,1,Cliente_54 Apellido_54
55,Cliente_55,Apellido_55,cliente55@email.com,123-456-0055,Calle 55 # 550,2,Cliente_55 Apellido_55
56,Cliente_56,Apellido_56,cliente56@email.com,123-456-0056,Calle 56 # 560,1,Cliente_56 Apellido_56
57,Cliente_57,Apellido_57,cliente57@email.com,123-456-0057,Calle 57 # 570,7,Cliente_57 Apellido_57
58,Cliente_58,Apellido_58,cliente58@email.com,123-456-0058,Calle 58 # 580,4,Cliente_58 Apellido_58
59,Cliente_59,Apellido_59,cliente59@email.com,123-456-0059,Calle 59 # 590,2,Cliente_59 Apellido_59
60,Cliente_60,Apellido_60,cliente60@email.com,123-456-0060,Calle 60 # 600,4,Cliente_60 Apellido_60
61,Cliente_61,Apellido_61,cliente61@email.com,123-456-0061,Calle 61 # 610,1,Cliente_61 Apellido_61
62,Cliente_62,Apellido_62,cliente62@email.com,123-456-0062,Calle 62 # 620,9,Cliente_62 Apellido_62
63,Cliente_63,Apellido_63,cliente63@email.com,123-456-0063,Calle 63 # 630,1,Cliente_63 Apellido_63
64,Cliente_64,Apellido_64,cliente64@email.com,123-456-0064,Calle 64 # 640,2,Cliente_64 Apellido_64
65,Cliente_65,Apellido_65,cliente65@email.com,123-456-0065,Calle 65 # 650,9,Cliente_65 Apellido_65
66,Cliente_66,Apellido_66,cliente66@email.com,123-456-0066,Calle 66 # 660,4,Cliente_66 Apellido_66
67,Cliente_67,Apellido_67,cliente67@email.com,123-456-0067,Calle 67 # 670,10,Cliente_67 Apellido_67
68,Cliente_68,Apellido_68,cliente68@email.com,123-456-0068,Calle 68 # 680,1,Cliente_68 Apellido_68
69,Cliente_69,Apellido_69,cliente69@email.com,123-456-0069,Calle 69 # 690,10,Cliente_69 Apellido_69
70,Cliente_70,Apellido_70,cliente70@email.com,123-456-0070,Calle 70 # 700,3,Cliente_70 Apellido_70
71,Cliente_71,Apellido_71,cliente71@email.com,123-456-0071,Calle 71 # 710,6,Cliente_71 Apellido_71
72,Cliente_72,Apellido_72,cliente72@email.com,123-456-0072,Calle 72 # 720,8,Cliente_72 Apellido_72
73,Cliente_73,Apellido_73,cliente73@email.com,123-456-0073,Calle 73 # 730,1,Cliente_73 Apellido_73
74,Cliente_74,Apellido_74,cliente74@email.com,123-456-0074,Calle 74 # 740,10,Cliente_74 Apellido_74
75,Cliente_75,Apellido_75,cliente75@email.com,123-456-0075,Calle 75 # 750,4,Cliente_75 Apellido_75
76,Cliente_76,Apellido_76,cliente76@email.com,123-456-0076,Calle 76 # 760,7,Cliente_76 Apellido_76
77,Cliente_77,Apellido_77,cliente77@email.com,123-456-0077,Calle 77 # 770,4,Cliente_77 Apellido_77
78,Cliente_78,Apellido_78,cliente78@email.com,123-456-0078,Calle 78 # 780,10,Cliente_78 Apellido_78
79,Cliente_79,Apellido_79,cliente79@email.com,123-456-0079,Calle 79 # 790,5,Cliente_79 Apellido_79
80,Cliente_80,Apellido_80,cliente80@email.com,123-456-0080,Calle 80 # 800,5,Cliente_80 Apellido_80
81,Cliente_81,Apellido_81,cliente81@email.com,123-456-0081,Calle 81 # 810,2,Cliente_81 Apellido_81
82,Cliente_82,Apellido_82,cliente82@email.com,123-456-0082,Calle 82 # 820,3,Cliente_82 Apellido_82
83,Cliente_83,Apellido_83,cliente83@email.com,123-456-0083,Calle 83 # 830,2,Cliente_83 Apellido_83
84,Cliente_84,Apellido_84,cliente84@email.com,123-456-0084,Calle 84 # 840,9,Cliente_84 Apellido_84
85,Cliente_85,Apellido_85,cliente85@email.com,123-456-0085,Calle 85 # 850,1,Cliente_85 Apellido_85
86,Cliente_86,Apellido_86,cliente86@email.com,123-456-0086,Calle 86 # 860,5,Cliente_86 Apellido_86
87,Cliente_87,Apellido_87,cliente87@email.com,123-456-0087,Calle 87 # 870,7,Cliente_87 Apellido_87
88,Cliente_88,Apellido_88,cliente88@email.com,123-456-0088,Calle 88 # 880,4,Cliente_88 Apellido_88
89,Cliente_89,Apellido_89,cliente89@email.com,123-456-0089,Calle 89 # 890,1,Cliente_89 Apellido_89
90,Cliente_90,Apellido_90,cliente90@email.com,123-456-0090,Calle 90 # 900,1,Cliente_90 Apellido_90
91,Cliente_91,Apellido_91,cliente91@email.com,123-456-0091,Calle 91 # 910,1,Cliente_91 Apellido_91
92,Cliente_92,Apellido_92,cliente92@email.com,123-456-0092,Calle 92 # 920,10,Cliente_92 Apellido_92
93,Cliente_93,Apellido_93,cliente93@email.com,123-456-0093,Calle 93 # 930,2,Cliente_93 Apellido_93
94,Cliente_94,Apellido_94,cliente94@email.com,123-456-0094,Calle 94 # 940,7,Cliente_94 Apellido_94
95,Cliente_95,Apellido_95,cliente95@email.com,123-456-0095,Calle 95 # 950,5,Cliente_95 Apellido_95
96,Cliente_96,Apellido_96,cliente96@email.com,123-456-0096,Calle 96 # 960,6,Cliente_96 Apellido_96
97,Cliente_97,Apellido_97,cliente97@email.com,123-456-0097,Calle 97 # 970,4,Cliente_97 Apellido_97
98,Cliente_98,Apellido_98,cliente98@email.com,123-456-0098,Calle 98 # 980,9,Cliente_98 Apellido_98
99,Cliente_99,Apellido_99,cliente99@email.com,123-456-0099,Calle 99 # 990,8,Cliente_99 Apellido_99
100,Cliente_100,Apellido_100,cliente100@email.com,123-456-0100,Calle 100 # 1000,9,Cliente_100 Apellido_100
